Day,Date,Peak_Wind_Gust_kmh,Mid_Wind_Gust_kmh,Valley_Wind_Gust_kmh,Peak_Wind_Speed_kmh,Mid_Wind_Speed_kmh,Valley_Wind_Speed_kmh,Peak_Min_Temp,Peak_Max_Temp,Peak_Feels_Like,Mid_Min_Temp,Mid_Max_Temp,Mid_Feels_Like,Valley_Min_Temp,Valley_Max_Temp,Valley_Feels_Like,Inversion,Peak_Weather2,Peak_Weather5,Mid_Weather2,Mid_Weather5,Valley_Weather2,Valley_Weather5,Peak_Rain_mm,Mid_Rain_mm,Valley_Rain_mm,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Thunder,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,
2623,04/09/2021,25,14,7,16,9,5,1,3,-4,4,8,1,6,7,5,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,0,3,9,0,0,0,,0,0,0,
2624,05/09/2021,0,0,0,0,0,0,-1,-1,4,2,10,7,9,9,14,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,18,0,0,,18,0,0,
2625,06/09/2021,5,3,2,5,3,2,-2,1,-4,1,4,0,3,7,4,,Snow,Mod Snow,Sleet,Sleet Showers,Rain,Mod Rain,0,0,16,19,0,0,,37,0,0,
2626,07/09/2021,0,0,0,0,0,0,1,3,11,6,13,15,11,13,18,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,27,0,0,
2627,08/09/2021,14,8,4,14,8,4,-1,-1,-5,4,9,2,9,12,9,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,24,0,0,
2628,09/09/2021,10,6,3,10,6,3,0,1,-3,2,5,1,5,6,5,,Snow,Light Snow,Sleet,Sleet Showers,Rain,Rain Showers,0,0,9,7,0,0,,30,0,0,
2629,10/09/2021,56,33,18,31,18,10,0,1,-9,2,10,-4,10,12,7,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,24,0,0,,49,0,0,
2630,11/09/2021,50,33,22,27,16,9,-1,-1,-10,1,5,-5,4,5,-1,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,0,4,5,0,0,,50,0,0,
2631,12/09/2021,0,0,0,0,0,0,0,1,4,2,7,7,5,5,10,,Snow,Light Snow,Sleet,Sleet Showers,Rain,Mod Rain,0,0,13,7,0,0,,57,0,0,
2632,13/09/2021,58,32,15,29,17,9,0,2,-8,3,11,-3,10,14,8,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,50,0,0,
2633,14/09/2021,2,1,1,2,1,1,-5,-5,-5,-2,4,-1,0,1,3,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,4,4,0,,54,4,0,
2634,15/09/2021,10,6,3,10,6,3,-6,-6,-10,-3,-1,-6,-1,0,-1,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,55,5,1,
2635,16/09/2021,38,22,11,24,14,8,-2,1,-10,1,9,-5,8,12,6,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,13,0,0,,0,0,0,
2636,17/09/2021,29,16,7,29,16,7,-6,-1,-14,-1,2,-6,4,7,2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2637,18/09/2021,31,20,13,31,19,11,-1,3,-8,4,7,0,9,14,7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2638,19/09/2021,34,22,14,29,17,10,2,4,-5,4,14,0,12,14,10,,Sleet,Sleet Showers,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2639,20/09/2021,0,0,0,0,0,0,1,1,5,3,10,8,6,7,11,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,0,2,2,0,0,0,,0,0,0,
2640,21/09/2021,20,11,5,20,11,5,-6,-1,-12,0,7,-4,5,12,3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2641,22/09/2021,17,10,5,17,10,5,-5,-5,-11,-2,4,-6,0,1,-1,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,1,1,0,,0,0,0,
2642,23/09/2021,80,48,27,39,23,12,-9,-4,-22,-4,-1,-13,1,5,-4,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2643,24/09/2021,36,21,11,36,21,11,-4,-2,-12,-1,3,-7,1,2,-2,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,4,3,0,,1,1,0,
2644,25/09/2021,15,9,4,15,9,4,-3,1,-8,0,4,-3,2,2,1,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,2,2,0,,1,2,0,
2645,26/09/2021,4,2,1,4,2,1,0,0,-1,2,7,3,5,8,7,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,0,2,2,0,0,,3,0,0,
2646,27/09/2021,23,13,6,23,13,6,-1,3,-7,1,4,-2,4,4,2,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,0,5,4,0,0,,5,0,0,
