Day,Date,Peak_Wind_Gust_kmh,Mid_Wind_Gust_kmh,Valley_Wind_Gust_kmh,Peak_Wind_Speed_kmh,Mid_Wind_Speed_kmh,Valley_Wind_Speed_kmh,Peak_Min_Temp,Peak_Max_Temp,Peak_Feels_Like,Mid_Min_Temp,Mid_Max_Temp,Mid_Feels_Like,Valley_Min_Temp,Valley_Max_Temp,Valley_Feels_Like,Inversion,Peak_Weather2,Peak_Weather5,Mid_Weather2,Mid_Weather5,Valley_Weather2,Valley_Weather5,Peak_Rain_mm,Mid_Rain_mm,Valley_Rain_mm,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Thunder,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,
1,01/07/2014,0,0,0,0,0,0,4,10,8,9,11,13,14,18,18,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2,02/07/2014,0,0,0,0,0,0,6,9,9,8,12,12,11,12,15,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,3,2,3,0,0,0,,0,0,0,
3,03/07/2014,0,0,0,0,0,0,9,10,12,11,22,15,19,20,22,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,,0,0,0,
4,04/07/2014,2,1,1,2,1,1,10,12,11,12,17,14,15,16,17,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,5,5,0,0,0,,0,0,0,
5,05/07/2014,1,1,1,1,1,1,12,13,13,14,19,16,17,20,19,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,3,5,3,0,0,0,,0,0,0,
6,06/07/2014,4,3,2,2,1,1,11,11,11,13,17,14,16,20,17,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,2,2,0,0,0,,0,0,0,
7,07/07/2014,0,0,0,0,0,0,7,13,10,12,14,15,17,24,20,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
8,08/07/2014,3,2,1,3,2,1,9,10,9,11,17,12,14,14,16,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,2,1,5,0,0,0,,0,0,0,
9,09/07/2014,2,1,1,2,1,1,8,11,9,13,22,15,18,21,20,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
10,10/07/2014,5,3,2,3,2,1,12,14,11,14,21,15,17,19,18,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,5,3,0,0,0,,0,0,0,
11,11/07/2014,1,1,0,1,1,0,7,11,9,10,15,13,13,14,16,,Rain,Heavy Rain,Rain,Mod Rain,Rain,Mod Rain,24,20,16,0,0,0,,0,0,0,
