Day,Date,Peak_Wind_Gust_kmh,Mid_Wind_Gust_kmh,Valley_Wind_Gust_kmh,Peak_Wind_Speed_kmh,Mid_Wind_Speed_kmh,Valley_Wind_Speed_kmh,Peak_Min_Temp,Peak_Max_Temp,Peak_Feels_Like,Mid_Min_Temp,Mid_Max_Temp,Mid_Feels_Like,Valley_Min_Temp,Valley_Max_Temp,Valley_Feels_Like,Inversion,Peak_Weather2,Peak_Weather5,Mid_Weather2,Mid_Weather5,Valley_Weather2,Valley_Weather5,Peak_Rain_mm,Mid_Rain_mm,Valley_Rain_mm,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Thunder,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,
2697,17/11/2021,137,92,62,55,34,20,-17,-11,-37,-12,-8,-28,-7,-2,-19,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,21,0,15,
2698,18/11/2021,3,2,1,3,2,1,-19,-17,-21,-17,-11,-17,-14,-13,-12,,Snow,Heavy Snow,Snow,Heavy Snow,Snow,Light Snow,0,0,0,24,24,10,,45,24,25,
2699,19/11/2021,9,6,4,9,6,4,-19,-18,-26,-14,-8,-18,-9,-9,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,44,23,25,
2700,20/11/2021,2,1,1,2,1,1,-18,-15,-19,-16,-8,-15,-8,-7,-6,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,23,0,0,,67,23,25,
2701,21/11/2021,77,47,27,57,34,18,-18,-14,-34,-15,-11,-28,-12,-10,-22,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,7,5,4,,67,26,28,
2702,22/11/2021,112,64,33,46,27,15,-21,-20,-41,-18,-15,-34,-16,-12,-27,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,18,16,9,,75,39,37,
2703,23/11/2021,44,24,11,37,22,11,-18,-16,-32,-13,-6,-22,-8,-7,-13,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,71,37,37,
2704,24/11/2021,4,2,1,4,2,1,-21,-18,-24,-16,-9,-17,-11,-10,-10,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,71,37,37,
2705,25/11/2021,5,3,2,5,3,2,-21,-21,-26,-16,-8,-18,-11,-9,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,70,37,37,
2706,26/11/2021,77,50,32,37,23,13,-20,-19,-38,-18,-14,-32,-15,-14,-26,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,64,36,37,
2707,27/11/2021,81,46,23,47,28,15,-20,-19,-39,-18,-14,-32,-15,-11,-25,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,16,15,8,,73,48,45,
2708,28/11/2021,3,1,1,3,1,1,-21,-21,-23,-19,-9,-18,-11,-9,-9,,Snow,Snow Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,4,0,0,,77,48,45,
2709,29/11/2021,46,30,18,38,23,12,-19,-18,-34,-14,-6,-25,-9,-6,-17,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,72,46,45,
2710,30/11/2021,35,20,10,33,19,10,-21,-21,-35,-19,-14,-29,-16,-16,-23,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,13,9,7,,82,53,52,
2711,01/12/2021,2,1,1,2,1,1,-20,-16,-21,-17,-15,-16,-15,-14,-12,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,14,12,6,,96,65,58,
2712,02/12/2021,16,11,8,16,11,8,-21,-20,-30,-18,-16,-26,-16,-12,-21,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,13,10,5,,108,74,63,
2713,03/12/2021,150,87,45,74,44,25,-20,-13,-42,-15,-12,-31,-10,-5,-21,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,92,61,63,
2714,04/12/2021,12,7,3,12,7,3,-23,-19,-32,-18,-10,-23,-13,-9,-15,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,91,60,63,
