Date,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,Ranger_Snow,Ranger_Snow_depth_cm,Arena_Snow,Arena_Snow_depth_cm
01/11/2022,0,0,0,0,0,0,0,0,0,0,
02/11/2022,0,0,0,0,0,0,0,0,0,0,
03/11/2022,0,0,0,0,0,0,0,0,0,0,
04/11/2022,0,0,0,0,0,0,0,0,0,0,
05/11/2022,0,0,0,0,0,0,0,0,0,0,
06/11/2022,0,0,0,0,0,0,0,0,0,0,
07/11/2022,0,0,0,0,0,0,0,0,0,0,
08/11/2022,0,0,0,0,0,0,0,0,0,0,
09/11/2022,0,0,0,0,0,0,0,0,0,0,
10/11/2022,0,0,0,0,0,0,0,0,0,0,
11/11/2022,0,0,0,0,0,0,0,0,0,0,
12/11/2022,0,0,0,0,0,0,0,0,0,0,
13/11/2022,0,0,0,0,0,0,0,0,0,0,
14/11/2022,0,0,0,0,0,0,0,0,0,0,
15/11/2022,0,0,0,0,0,0,0,0,0,0,
16/11/2022,0,0,0,0,0,0,0,0,0,0,
17/11/2022,0,0,0,0,0,0,0,0,0,0,
18/11/2022,0,0,0,0,0,0,0,0,0,0,
19/11/2022,0,0,0,0,0,0,0,0,0,0,END_OF_NOT_RECORDED
20/11/2022,2,0,0,40,32,0,0,0,0,0,
21/11/2022,0,0,0,37,24,0,0,0,0,0,
22/11/2022,0.9,1,1,38,24,1,1,1,1,1,
23/11/2022,0,0,0,35,19,1,0,1,0,1,
24/11/2022,0,0,0,33,17,0,0,0,0,0,
25/11/2022,0,0,0,33,17,0,0,0,1,1,
26/11/2022,0,0,0,32,15,0,0,0,0,1,
27/11/2022,4,3,2,33,17,2,2,2,2,3,
28/11/2022,0,0,0,23,8,2,0,2,0,3,
29/11/2022,3,3,2,17,7,4,2,4,2,5,
30/11/2022,12,9,6,26,14,11,5,9,8,13,
1/12/2022,0,0,0,23,12,11,0,9,0,13,
2/12/2022,0,0,0,20,9,11,0,9,0,13,
3/12/2022,0,0,0,17,0,0,0,0,0,0,
4/12/2022,0,0,0,0,0,0,0,0,0,0,
