Date,Temp C,Feels Like C,Wind Gust kmh,Wind Speed kmh,Weather2,Blizzard?,Weather4,Snow depth cm,Thunder Chance
01/07/2014,27.55,30,0.34,0.34,Rain,,Calm,0,
02/07/2014,25.56,28,0.77,0.77,Sunny,,Calm,0,71
03/07/2014,22.57,24,2.41,1.56,Rain,,Calm,0,
04/07/2014,21.57,23,3.23,1.21,Rain,,Stormy,0,
05/07/2014,26.58,29,3.13,0.88,Rain,,Stormy,0,
06/07/2014,29.57,32,0.29,0.29,Rain,,Calm,0,
07/07/2014,28.57,31,0.03,0.03,Rain,,Calm,0,
08/07/2014,29.56,32,0.86,0.86,Rain,,Calm,0,
09/07/2014,30.55,33,0.95,0.95,Rain,,Calm,0,
10/07/2014,26.54,29,0,0,Sunny,,Calm,0,53
11/07/2014,26.52,29,0.92,0.92,Sunny,,Calm,0,89
12/07/2014,27.5,30,6.41,2.59,Rain,,Stormy,0,
13/07/2014,23.48,26,0.73,0.73,Rain,,Calm,0,
14/07/2014,22.45,25,0.96,0.96,Rain,,Calm,0,
15/07/2014,23.42,25,1.63,1.63,Rain,,Calm,0,
16/07/2014,23.39,25,3.32,2.44,Rain,,Calm,0,
17/07/2014,23.35,26,0.02,0.02,Rain,,Calm,0,
18/07/2014,30.31,33,5.07,3.34,Rain,,Calm,0,
19/07/2014,25.27,28,0.1,0.1,Rain,,Calm,0,
20/07/2014,30.23,33,4.5,2.89,Rain,,Calm,0,
21/07/2014,26.18,29,0.42,0.42,Sunny,,Calm,0,86
22/07/2014,28.13,30,3.64,2.41,Rain,,Calm,0,
23/07/2014,29.07,31,9.24,1.96,Sunny,,Stormy,0,59
24/07/2014,25.01,27,0.42,0.42,Sunny,,Calm,0,80
25/07/2014,25.95,28,0.32,0.32,Sunny,,Calm,0,33
26/07/2014,21.89,24,1.67,1.3,Rain,,Calm,0,
27/07/2014,27.82,30,1.44,1.44,Rain,,Calm,0,
28/07/2014,26.75,29,0.16,0.16,Sunny,,Calm,0,35
29/07/2014,24.68,27,0.45,0.45,Rain,,Calm,0,
30/07/2014,24.6,27,1.14,1.14,Rain,,Calm,0,
31/07/2014,25.52,27,3.47,3.47,Sunny,,Calm,0,68
01/08/2014,30.44,33,0.74,0.74,Sunny,,Calm,0,56
02/08/2014,25.35,27,17.73,8.29,Rain,,Stormy,0,
03/08/2014,25.26,28,0.13,0.13,Rain,,Calm,0,
04/08/2014,26.17,28,10.47,6.75,Sunny,,Calm,0,94
05/08/2014,23.07,25,1.63,1.63,Rain,,Calm,0,
06/08/2014,24.97,26,14.78,6.4,Rain,,Stormy,0,
07/08/2014,26.87,29,7.26,4.29,Rain,,Calm,0,
08/08/2014,28.76,31,6.01,3.28,Rain,,Calm,0,
09/08/2014,24.65,26,6.66,5.75,Rain,,Calm,0,
10/08/2014,20.54,23,0.42,0.42,Sunny,,Calm,0,31
11/08/2014,25.43,27,8.42,8.42,Rain,,Calm,0,
12/08/2014,26.31,28,1.24,1.24,Sunny,,Calm,0,98
13/08/2014,29.19,31,0.01,0.01,Cloudy,,Foggy,0,
14/08/2014,24.06,27,0.17,0.17,Rain,,Calm,0,
15/08/2014,26.93,29,23.34,11.99,Sunny,,Calm,0,24
16/08/2014,23.8,25,27.36,10.48,Rain,,Stormy,0,
17/08/2014,21.67,23,3.85,3.85,Rain,,Calm,0,
18/08/2014,24.53,27,0.14,0.14,Rain,,Calm,0,
19/08/2014,20.39,22,3.72,3.72,Rain,,Calm,0,
20/08/2014,20.25,20,25.24,8.86,Sunny,,Stormy,0,50
21/08/2014,20.1,23,0.28,0.28,Rain,,Calm,0,
22/08/2014,20.95,22,12.8,6.48,Sunny,,Calm,0,68
23/08/2014,19.8,20,11.43,5.98,Rain,,Calm,0,
24/08/2014,21.65,23,8.48,5.4,Sunny,,Calm,0,43
25/08/2014,18.49,20,2.35,2.35,Rain,,Calm,0,
26/08/2014,20.33,22,1.47,1.47,Sunny,,Calm,0,89
27/08/2014,18.17,19,8.47,8.47,Rain,,Calm,0,
28/08/2014,22,25,0.35,0.35,Rain,,Calm,0,
29/08/2014,16.83,17,9.31,9.31,Rain,,Calm,0,
30/08/2014,16.66,17,7.39,7.39,Rain,,Calm,0,
31/08/2014,25.49,27,21.41,13.45,Rain,,Calm,0,
01/09/2014,19.31,22,0.37,0.37,Sunny,,Calm,0,8
02/09/2014,20.13,19,46.89,10.53,Sunny,,Stormy,0,14
03/09/2014,15.95,17,2.82,2.82,Sunny,,Calm,0,87
04/09/2014,20.76,21,14.45,7.37,Sunny,,Calm,0,98
05/09/2014,19.57,20,6.87,6.87,Sunny,,Calm,0,87
06/09/2014,20.38,22,1.37,1.37,Rain,,Calm,0,
07/09/2014,23.19,27,0.01,0.01,Sunny,,Calm,0,57
08/09/2014,15,17,1.28,1.28,Rain,,Calm,0,
09/09/2014,19.8,21,3.91,3.91,Rain,,Calm,0,
10/09/2014,18.65,18,23.67,10.77,Rain,,Stormy,0,
11/09/2014,16.5,15,22.27,8.64,Rain,,Stormy,0,
12/09/2014,19.34,20,4.3,4.3,Sunny,,Calm,0,4
13/09/2014,16.18,19,0.39,0.39,Sunny,,Calm,0,87
14/09/2014,19.02,21,1.71,1.71,Rain,,Calm,0,
15/09/2014,16.86,19,0.55,0.55,Rain,,Calm,0,
16/09/2014,17.7,17,22.47,22.17,Rain,,Calm,0,
17/09/2014,17.53,18,8.82,8.82,Sunny,,Calm,0,8
18/09/2014,17.37,17,15.88,15.88,Rain,,Calm,0,
19/09/2014,16.2,13,80.78,16.17,Rain,,Stormy,0,
20/09/2014,12.02,12,5.01,5.01,Rain,,Calm,0,
21/09/2014,14.85,16,2.27,2.27,Rain,,Calm,0,
22/09/2014,16.67,16,19.96,19.96,Sunny,,Calm,0,78
23/09/2014,13.49,15,2.49,2.49,Rain,,Calm,0,
24/09/2014,14.31,15,2.57,2.57,Sunny,,Calm,0,32
25/09/2014,14.13,18,0.12,0.12,Rain,,Calm,0,
26/09/2014,13.95,13,9.09,9.09,Rain,,Calm,0,
27/09/2014,14.76,11,89.15,33.6,Rain,,Stormy,0,
28/09/2014,10.58,7,42.11,32.74,Sunny,,Calm,0,77
29/09/2014,16.39,14,51.34,38.3,Sunny,,Calm,0,83
30/09/2014,8.2,10,1.16,1.16,Rain,,Calm,0,
01/10/2014,13.01,16,0.26,0.26,Sunny,,Calm,0,27
02/10/2014,11.81,12,3.79,3.79,Sunny,,Calm,0,68
03/10/2014,8.62,4,47.4,36.44,Rain,,Calm,0,
04/10/2014,12.42,8,83.14,30.62,Rain,,Stormy,0,
05/10/2014,7.23,0,81,19.17,Rain,,Stormy,0,
06/10/2014,14.03,18,0.07,0.07,Sunny,,Calm,0,69
07/10/2014,9.83,7,19.29,14.52,Rain,,Calm,0,
08/10/2014,10.63,10,7.17,7.17,Sunny,,Calm,0,1
09/10/2014,5.42,2,16.99,13.09,Rain,,Calm,0,
10/10/2014,7.22,6,6.66,6.66,Rain,,Calm,0,
11/10/2014,10.02,11,3.02,3.02,Rain,,Calm,0,
12/10/2014,12.81,10,28.55,17.48,Rain,,Calm,0,
13/10/2014,7.6,4,19.99,13.77,Rain,,Calm,0,
14/10/2014,5.4,6,2.31,2.31,Rain,,Calm,0,
15/10/2014,7.19,5,14.15,14.15,Sunny,,Calm,0,
16/10/2014,8.98,8,6.74,6.74,Rain,,Calm,0,
17/10/2014,9.77,6,32.08,29.55,Rain,,Calm,0,
18/10/2014,7.56,4,18.51,18.51,Rain,,Calm,0,
19/10/2014,2.35,2,2.62,2.62,Sleet,,Calm,0,
20/10/2014,4.14,10,0.04,0.04,Sunny,,Calm,0,
21/10/2014,7.92,2,59.34,53.37,Rain,,Windy,0,
22/10/2014,3.71,-5,93.97,64.03,Rain,,Windy,0,
23/10/2014,1.5,5,0.3,0.3,Sleet,,Calm,0,
24/10/2014,0.29,2,1.33,1.33,Sunny,,Calm,0,
25/10/2014,7.07,1,71.61,64.15,Rain,,Windy,0,
26/10/2014,3.86,-3,46.58,46.58,Rain,,Windy,0,
27/10/2014,5.64,-2,100.48,50.22,Sunny,,Stormy,0,
28/10/2014,0.43,-11,133.92,36.26,Sleet,,Stormy,0,
29/10/2014,5.21,-3,88.43,20.8,Rain,,Stormy,0,
30/10/2014,1,0,3.27,3.27,Sleet,,Calm,0,
31/10/2014,-1.21,-3,4.79,4.79,Snow,,Calm,6.52085026,
01/11/2014,1.57,0,5.13,5.13,Sleet,,Calm,4.436721459,
02/11/2014,1.36,-3,15.52,15.33,Sunny,,Calm,0,
03/11/2014,0.14,0,2.77,2.77,Sunny,,Calm,0,
04/11/2014,0.93,-5,25.66,17.45,Sunny,,Calm,0,
05/11/2014,1.71,-4,31.68,21.07,Sunny,,Calm,0,
06/11/2014,-0.5,-4,9.03,9.03,Snow,,Calm,15.09716224,
07/11/2014,-0.71,-7,22.58,22.58,Snow,,Calm,20.83958452,
08/11/2014,-3.92,2,0.07,0.07,Sunny,,Calm,19.83215476,
09/11/2014,-4.14,-1,0.61,0.61,Snow,,Calm,33.77118002,
10/11/2014,-3.35,-11,32.56,30.77,Sunny,,Calm,29.51530764,
