Date,Peak Wind Gust kmh,Mid Wind Gust kmh,Valley Wind Gust kmh,Peak Wind Speed kmh,Mid Wind Speed kmh,Valley Wind Speed kmh,Min Peak Temp,Max Peak Temp,Peak Feels Like,Mid Min Temp,Mid Max Temp,Mid Feels Like,Valley Min Temp,Valley Max Temp,Valley Feels Like,Inversion,Peak Weather2,Peak Weather5,Mid Weather2,Mid Weather5,Valley Weather2,Valley Weather5,Peak Rain mm,Mid Rain mm,Valley Rain mm,Peak Snow cm,Mid Snow cm,Valley Snow cm,Thunder Chance,Thunder,Total Peak Loss cm,Peak Wind Loss cm,Peak Snow depth cm,Total Mid Loss cm,Mid Wind Loss cm,Mid Snow depth cm,Total base Loss cm,Base Wind Loss cm,Base Snow depth cm,Wind Dir,Ranger Snow Cm,Ranger Snow depth cm,Ranger Rainfall,Arena snow,Arena Snow depth cm,Arena Rainfall
01/08/2023,1,0,0,1,0,0,12,15,12,14,17,14,17,21,17,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,4,5,7,0,0,0,0,,71,0,0,115,0,0,118,0,0,S,0,0,1,0,0,1
02/08/2023,2,1,1,2,1,1,10,10,10,12,20,12,20,21,20,,Rain,Rain Showers,Partly Cloudy,,Partly Cloudy,,7,0,0,0,0,0,0,,69,0,0,62,0,0,179,0,0,S,0,0,0,0,0,0
03/08/2023,4,2,2,4,2,2,10,10,10,12,17,12,15,17,15,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,2,4,0,0,0,0,,78,1,0,74,0,0,104,0,0,S,0,0,2,0,0,1
04/08/2023,0,0,0,0,0,0,12,15,12,17,23,17,22,25,22,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,7,0,0,9,0,0,9,0,0,S,0,0,0,0,0,0
05/08/2023,0,0,0,0,0,0,13,15,13,18,25,18,23,26,23,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,8,0,0,6,0,0,9,0,0,S,0,0,0,0,0,0
06/08/2023,0,0,0,0,0,0,10,13,10,13,19,13,16,16,16,,Rain,Mod Rain,Rain,Rain Showers,Rain,Rain Showers,17,9,7,0,0,0,0,,63,0,0,26,0,0,140,0,0,S,0,0,1,0,0,1
07/08/2023,5,3,1,5,3,1,9,9,9,12,20,12,19,20,19,,Rain,Heavy Rain,Partly Cloudy,,Partly Cloudy,,23,0,0,0,0,0,0,,48,1,0,96,0,0,137,0,0,SE,0,0,0,0,0,0
08/08/2023,10,7,5,6,4,3,8,8,7,11,14,11,13,14,13,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,5,1,2,0,0,0,0,,27,2,0,55,1,0,94,1,0,S,0,0,1,0,0,0
09/08/2023,18,12,9,8,5,3,9,10,8,12,14,12,14,16,14,,Rain,Heavy Rain,Rain,Mod Rain,Rain,Mod Rain,23,19,13,0,0,0,0,,49,3,0,36,1,0,101,1,0,S,0,0,5,0,0,5
10/08/2023,3,2,1,3,2,1,11,11,11,14,25,14,21,24,21,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,0,,34,1,0,28,0,0,149,0,0,S,0,0,0,0,0,0
11/08/2023,1,0,0,1,0,0,11,14,11,14,20,14,16,16,16,,Rain,Rain Showers,Rain,Mod Rain,Rain,Mod Rain,3,14,14,0,0,0,0,,89,0,0,41,0,0,145,0,0,S,0,0,2,0,0,5
12/08/2023,4,2,1,4,2,1,9,9,9,14,23,14,19,22,19,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,4,1,0,9,0,0,2,0,0,S,0,0,0,0,0,0
13/08/2023,1,0,0,1,0,0,10,13,10,15,18,15,20,23,20,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,7,0,0,8,0,0,2,0,0,S,0,0,0,0,0,0
14/08/2023,9,5,3,7,4,2,8,14,6,13,17,13,18,22,18,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,7,1,0,6,1,0,6,1,0,S,0,0,0,0,0,0
15/08/2023,22,12,6,6,3,2,12,15,11,14,21,14,17,19,17,,Rain,Mod Rain,Rain,Rain Showers,Rain,Mod Rain,20,8,20,0,0,0,0,,74,3,0,72,1,0,101,1,0,S,0,0,6,0,0,7
16/08/2023,2,1,1,2,1,1,12,13,12,14,25,14,22,24,22,,Rain,Rain Showers,Sunny,,Sunny,,1,0,0,0,0,0,0,,93,0,0,142,0,0,196,0,0,SW,0,0,0,0,0,0
17/08/2023,5,3,2,4,2,1,13,16,13,18,23,18,23,29,23,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,10,,6,1,0,5,0,0,4,0,0,SW,0,0,0,0,0,0
18/08/2023,1,0,0,1,0,0,11,11,11,14,20,14,16,16,16,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,4,4,4,0,0,0,0,,92,0,0,98,0,0,165,0,0,SW,0,0,3,0,0,0
19/08/2023,2,2,1,2,2,1,7,10,7,10,15,10,12,14,12,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,3,2,3,0,0,0,0,,59,0,0,69,0,0,99,0,0,S,0,0,2,0,0,0
20/08/2023,7,4,2,6,4,2,13,14,13,16,23,16,23,26,23,,Rain,Rain Showers,Sunny,,Sunny,,1,0,0,0,0,0,0,,94,1,0,48,1,0,140,1,0,S,0,0,0,0,0,0
21/08/2023,1,1,0,1,1,0,4,8,4,7,9,7,9,12,9,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,2,1,1,0,0,0,0,,25,0,0,20,0,0,83,0,0,S,0,0,1,0,0,0
